카드명,브랜드,링크,카테고리,내용,충전요금할인,교통할인,정비서비스,자동차보험,차량기타,전기차,수소차,이미지
카드의정석 POINT,우리카드,https://www.card-gorilla.com/card/detail/84,카페,"스타벅스, 엔제리너스, 이디야 모아포인트 3% 적립",N,N,N,N,N,N,N,84card.png
카드의정석 POINT,우리카드,https://www.card-gorilla.com/card/detail/84,영화,"CGV, 롯데시네마 모아포인트 3% 적립",N,N,N,N,N,N,N,84card.png
카드의정석 POINT,우리카드,https://www.card-gorilla.com/card/detail/84,쇼핑,"백화점, 할인점, 온라인쇼핑 모아포인트 1% 적립",N,N,N,N,N,N,N,84card.png
카드의정석 POINT,우리카드,https://www.card-gorilla.com/card/detail/84,주유,주유 모아포인트 1% 적립,Y,N,N,N,N,N,N,84card.png
카드의정석 POINT,우리카드,https://www.card-gorilla.com/card/detail/84,해외,해외 가맹점 1% 적립,N,N,N,N,N,N,N,84card.png
카드의정석 POINT,우리카드,https://www.card-gorilla.com/card/detail/84,간편결제,주요 간편결제 모아포인트 3% 추가적립,N,N,N,N,N,N,N,84card.png
K-패스카드(체크),NH농협카드,https://www.card-gorilla.com/card/detail/2561,교통,"[모빌리티 서비스] 버스/지하철 10% 캐시백, 렌터카/카쉐어링/전기차 충전 5% 캐시백",Y,Y,N,N,Y,Y,N,2561card.png
K-패스카드(체크),NH농협카드,https://www.card-gorilla.com/card/detail/2561,통신,[라이프 서비스] 이동통신요금/커피전문점/편의점 5% 캐시백,N,N,N,N,N,N,N,2561card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,푸드,[생활 Life] 모든 음식점 5% 캐시백,N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,대형마트,"[생활 Life] 롯데마트, 이마트, 홈플러스 5% 캐시백",N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,충전소,[생활 Life] 전기차 충전 5% 캐시백,Y,N,N,N,N,Y,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,주유소,[생활 Life] SK주유 L당 40원 캐시백,Y,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,약국,[건강 Life] 모든 약국 10% 캐시백,N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,쇼핑,[건강 Life] 정관장 10% 캐시백,N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,골프,"[건강 Life] 골프장, 골프연습장, 스크린골프장 10% 캐시백",N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,영화,"[문화 Life] CGV, 메가박스, 롯데시네마 15% 캐시백",N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,도서,[문화 Life] 교보문고(온・오프라인) 15% 캐시백,N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,여행/숙박,[문화 Life] 국내 숙박업종 15% 캐시백,N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,기타,[안전 Life] 해외원화결제(DCC)차단 서비스 기본설정・터치 기능 제공,N,N,N,N,N,N,N,2628card.png
브라보(Bravo) 체크카드,우체국,https://www.card-gorilla.com/card/detail/2628,해외,[글로벌 Life] 해외 ATM 현금인출 수수료(건당 $3) 면제,N,N,N,N,N,N,N,2628card.png
더담은 체크카드,MG새마을금고,https://www.card-gorilla.com/card/detail/2745,학원,대상가맹점 결제 시 2천원 할인,N,N,N,N,N,N,N,2745card.png
더담은 체크카드,MG새마을금고,https://www.card-gorilla.com/card/detail/2745,주유,"전국 주유소 및 충전소, 전기차충전소 결제 시 1천원 할인캐시백",Y,N,N,N,N,Y,N,2745card.png
더담은 체크카드,MG새마을금고,https://www.card-gorilla.com/card/detail/2745,일반음식점,음식점 업종 결제 시 1천원 할인캐시백,N,N,N,N,N,N,N,2745card.png
더담은 체크카드,MG새마을금고,https://www.card-gorilla.com/card/detail/2745,쇼핑,대상가맹점 결제 시 1천원 할인,N,N,N,N,N,N,N,2745card.png
더담은 체크카드,MG새마을금고,https://www.card-gorilla.com/card/detail/2745,편의점,"GS25, CU, 세븐일레븐, 이마트24 결제 시 500원 할인캐시백",N,N,N,N,N,N,N,2745card.png
더담은 체크카드,MG새마을금고,https://www.card-gorilla.com/card/detail/2745,해외,"해외 서비스수수료, 현금(예금)인출수수료, 예금잔액조회수수료 면제",N,N,N,N,N,N,N,2745card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,모든가맹점,국내 가맹점 0.2% 적립,N,N,N,N,N,N,N,2370card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,쇼핑,"[DAILY] 해외, 쿠팡, 11번가, 이마트, 롯데마트 1% 적립",N,N,N,N,N,N,N,2370card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,교통,"[DAILY] 대중교통, 전기차충전, 주유 1% 적립",Y,Y,N,N,N,Y,N,2370card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,디지털구독,"[DAILY] (정기결제) 넷플릭스, 유튜브 프리미엄, 멜론, 디즈니플러스, 이동통신 1% 적립",N,N,N,N,N,N,N,2370card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,기타,[DAILY] UNIQ DAILY 0.5% 한번 더 적립,N,N,N,N,N,N,N,2370card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,카페,"[EAT] 스타벅스, 투썸플레이스, 이디야 1% 적립",N,N,N,N,N,N,N,2370card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,편의점,"[EAT] CU, 세븐일레븐, GS25 1% 적립",N,N,N,N,N,N,N,2370card.png
NU Uniq Check,우리카드,https://www.card-gorilla.com/card/detail/2370,배달앱,"[EAT] 배달의민족, 쿠팡이츠. 마켓컬리 1% 적립",N,N,N,N,N,N,N,2370card.png
신한카드 EV 체크,신한카드,https://www.card-gorilla.com/card/detail/299,기타,전기차 충전요금 할인,Y,N,N,N,N,Y,N,299card.png
신한카드 EV 체크,신한카드,https://www.card-gorilla.com/card/detail/299,대중교통,대중교통 할인,N,Y,N,N,N,N,N,299card.png
신한카드 EV 체크,신한카드,https://www.card-gorilla.com/card/detail/299,보험사,보험료 할인,N,N,N,Y,N,N,N,299card.png
EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2744,충전소,전기/수소차 20% 청구할인,N,N,N,N,N,N,Y,2744card.png
EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2744,자동차,"주차, 세차 20% 청구할인",N,Y,Y,N,N,N,N,2744card.png
EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2744,디지털구독,OTT 20% 청구할인,N,N,N,N,N,N,N,2744card.png
EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2744,간편결제,KB Pay 오픈마켓 10% 청구할인,N,N,N,N,N,N,N,2744card.png
EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2744,보험,자동차보험 1만원 청구할인,N,N,Y,Y,N,N,N,2744card.png
에버온 EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2789,충전소,전기/수소차 충전 20% 청구할인,Y,N,N,N,N,N,Y,2789card.png
에버온 EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2789,자동차,"주차, 세차  20% 청구할인",N,Y,Y,N,N,N,N,2789card.png
에버온 EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2789,디지털구독,OTT 20% 청구할인,N,N,N,N,N,N,N,2789card.png
에버온 EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2789,쇼핑,KB Pay 오픈마켓  20% 청구할인,N,N,N,N,N,N,N,2789card.png
에버온 EV 카드,KB국민카드,https://www.card-gorilla.com/card/detail/2789,보험,자동차보험 1만원 청구할인,N,N,Y,Y,N,N,N,2789card.png
수소차 충전할인 신한카드,신한카드,https://www.card-gorilla.com/card/detail/2480,충전소,수소차 충전요금 10% 결제일 할인,Y,N,N,N,N,N,Y,2480card.png
수소차 충전할인 신한카드,신한카드,https://www.card-gorilla.com/card/detail/2480,자동차,"주차장 업종 10% 결제일 할인자동차SVC(정비, 세차) 업종 10% 결제일 할인",N,Y,Y,N,N,N,N,2480card.png
수소차 충전할인 신한카드,신한카드,https://www.card-gorilla.com/card/detail/2480,마트/편의점,주요 할인점 5% 결제일 할인주요 편의점 5% 결제일 할인,N,N,N,N,N,N,N,2480card.png
수소차 충전할인 신한카드,신한카드,https://www.card-gorilla.com/card/detail/2480,배달앱,배달의민족/쿠팡이츠/요기요/땡겨요 5% 결제일 할인,N,N,N,N,N,N,N,2480card.png
Green Wave 1.5℃카드,KB국민카드,https://www.card-gorilla.com/card/detail/768,자동차,"전기/수소차 충전소, 버스/지하철, 철도 10% 포인트리 적립공유 모빌리티 20% 포인트리 적립",Y,Y,N,N,Y,N,Y,768card.png
Green Wave 1.5℃카드,KB국민카드,https://www.card-gorilla.com/card/detail/768,쇼핑,"친환경 마켓 20% 포인트리 적립업사이클링 제품, 반려식물 10% 포인트리 적립",N,N,N,N,N,N,N,768card.png
Green Wave 1.5℃카드,KB국민카드,https://www.card-gorilla.com/card/detail/768,디지털구독,"모바일단독카드 이용 시, 영상/음원 건당 5천원 이상 이용 시 포인트리 1천점 적립(월1회)굿윌스토어 건당 2만원 이상 이용 시 포인트리 1천점 적립(월2회)",N,N,N,N,N,N,N,768card.png
Green Wave 1.5℃카드,KB국민카드,https://www.card-gorilla.com/card/detail/768,기타,기부포인트 적립 서비스,N,N,N,N,N,N,N,768card.png
EVO 티타늄카드,KB국민카드,https://www.card-gorilla.com/card/detail/1010,기타,"전기/수소차 충전 50% 적립올가홀푸드, 바이올가, SSG.COM, 쿠팡 5% 적립",Y,N,N,N,N,N,Y,1010card.png
EVO 티타늄카드,KB국민카드,https://www.card-gorilla.com/card/detail/1010,기타,이용건별 기부서비스(1+1적립),N,N,N,N,N,N,N,1010card.png
EVO 티타늄카드,KB국민카드,https://www.card-gorilla.com/card/detail/1010,프리미엄 서비스,K-WORLD/국내전용 티타늄 서비스Master 티타늄 서비스,N,N,N,N,N,N,N,1010card.png
